Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Altcourse,180,65,35,309,48,45,44,243,8,E00176728,E02001351
Ashfield,4,383,*,*,*,*,6,3,*,E00189531,E02003108
Askham Grange,31,5,*,15,*,*,*,*,*,E00067761,E02002782
Aylesbury,165,21,*,26,10,*,*,*,*,E00178390,E02003665
Bedford,81,20,9,88,13,7,21,32,9,E00183502,E02003625
Belmarsh,318,28,7,136,32,13,39,28,1,E00176530,E02000314
Berwyn,414,62,39,463,71,34,50,280,5,W00010468,W02000425
Birmingham,266,65,38,172,57,20,61,67,49,E00175650,E02001879
Brinsford,100,18,4,95,29,9,29,15,1,E00171615,E02006179
Bristol,121,35,25,90,15,19,17,38,28,E00073274,E02003027
Brixton,100,151,8,151,30,12,46,24,*,E00177601,E02000638
Bronzefield,105,11,15,76,10,13,49,93,7,E00156619,E02006405
Buckley Hall,211,*,8,95,14,*,5,14,*,E00172363,E02001136
Bullingdon,246,118,21,202,57,25,74,74,21,E00169031,E02005936
Bure,22,542,*,*,*,6,26,7,*,E00169872,E02005581
Cardiff,182,*,28,168,36,15,41,55,5,W00009982,W02000402
Channings Wood,164,178,9,101,23,15,36,22,*,E00165900,E02004213
Chelmsford,149,39,42,204,22,22,38,46,6,E00109852,E02006978
Coldingley,208,*,4,109,11,*,5,*,*,E00167820,E02006421
Cookham Wood,45,*,*,8,7,*,*,*,1,E00167420,E02003337
Dartmoor,164,270,13,48,6,4,12,3,*,E00180228,E02004231
Deerbolt,125,*,4,26,11,5,6,10,*,E00183312,E02007022
Doncaster,248,204,42,140,60,25,84,86,15,E00038161,E02001560
Dovegate,619,27,28,123,29,13,19,86,9,E00168365,E02006136
Downview,63,21,5,42,8,3,4,15,*,E00170403,E02006376
Drake Hall,91,14,12,50,*,*,16,5,*,E00151321,E02006192
Durham,217,105,45,140,39,18,65,89,10,E00171869,E02004314
East Sutton Park,29,5,*,15,*,*,4,*,*,E00123682,E02005084
Eastwood Park,123,11,17,65,13,6,18,17,4,E00075710,E02003090
Elmley (Sheppey cluster),230,92,58,234,34,38,115,67,7,E00189650,E02005120
Erlestoke,242,*,10,72,12,*,4,4,*,E00184186,E02006639
Exeter,107,35,17,71,18,15,24,44,3,E00180166,E02004152
Featherstone,205,*,13,140,36,12,34,16,*,E00171615,E02006179
Feltham,74,3,*,51,11,*,9,*,*,E00179152,E02000552
Ford,90,*,7,162,17,*,18,*,*,E00184735,E02006547
Forest Bank,242,74,31,252,68,36,78,276,8,E00172963,E02001164
Foston Hall,107,11,14,13,9,5,7,16,6,E00100526,E02004118
Frankland,541,200,*,18,5,9,4,*,1,E00183299,E02004308
Full Sutton,347,160,4,12,*,10,*,*,*,E00175339,E02002692
Garth,424,160,14,31,14,5,5,9,*,E00170510,E02005195
Gartree,557,*,6,*,*,*,*,3,*,E00187479,E02005373
Grendon/Spring Hill,174,40,*,89,10,*,10,*,*,E00169125,E02003661
Guys Marsh,164,*,14,116,19,7,6,4,*,E00183057,E02004259
Hatfield,94,*,*,103,16,*,9,*,*,E00038290,E02001546
Haverigg,35,250,*,*,*,*,8,*,*,E00097466,E02004007
Hewell,226,87,31,135,43,22,55,70,24,E00181370,E02006709
High Down,263,110,16,310,60,24,39,48,5,E00170403,E02006376
Highpoint (North and South),494,4,22,339,45,10,33,11,*,E00169948,E02006283
Hindley,117,*,18,127,36,*,24,82,*,E00181441,E02001312
Hollesley Bay,101,12,*,164,17,*,16,*,1,E00173886,E02006293
Holme House,303,171,28,101,50,22,54,41,*,E00174165,E02002544
Hull,213,270,48,118,35,31,68,64,10,E00170747,E02002671
Humber,300,*,23,158,39,24,38,34,*,E00185508,E02002709
Huntercombe,87,49,*,139,15,*,54,*,*,E00186049,E02005968
Isis,123,*,*,269,66,7,12,4,*,E00176530,E02000314
Isle of Wight,46,574,*,3,*,*,4,7,1,E00172713,E02003588
Kirkham,128,*,*,229,18,*,10,*,*,E00174064,E02005205
Kirklevington Grange,74,*,*,57,*,*,*,*,*,E00174174,E02002558
Lancaster Farms,141,*,16,132,22,*,9,32,*,E00185618,E02005233
Leeds,254,122,41,185,63,35,87,98,11,E00170041,E02002400
Leicester,70,14,13,78,9,*,21,20,7,E00068911,E02006850
Lewes,145,57,20,87,29,20,43,35,*,E00106857,E02004383
Leyhill,108,256,6,42,5,*,9,*,*,E00173069,E02003092
Lincoln,144,75,15,147,38,23,45,50,*,E00173653,E02005444
Lindholme,320,5,25,189,48,7,20,10,*,E00172382,E02001546
Littlehey,33,1077,5,*,*,6,27,12,*,E00173794,E02003769
Liverpool,167,65,10,266,40,25,57,44,6,E00182973,E02001349
Long Lartin,380,35,5,24,4,13,*,*,*,E00171600,E02006758
Low Newton,91,15,11,25,10,6,9,8,*,E00183266,E02004308
Lowdham Grange,567,*,14,74,29,6,*,8,*,E00173435,E02005905
Maidstone,82,38,3,240,14,3,96,*,*,E00186663,E02005071
Manchester,335,28,*,68,11,10,10,31,*,E00175942,E02006915
Moorland,128,383,18,135,23,17,36,24,*,E00172382,E02001546
Mount,398,*,15,263,45,12,38,9,*,E00189378,E02004876
New Hall,106,9,28,25,16,5,20,18,5,E00168748,E02002472
North Sea Camp,76,177,4,16,*,*,8,*,*,E00185354,E02005417
Northumberland,332,349,21,99,39,40,55,56,*,E00190044,E02005720
Norwich,183,55,28,165,24,19,39,59,7,E00187940,E02005587
Nottingham,209,85,39,184,59,21,45,58,*,E00173486,E02002874
Oakwood,539,465,24,344,89,24,98,70,*,E00171615,E02006179
Onley,211,3,9,232,47,4,17,5,*,E00169204,E02005621
Parc,404,216,34,444,29,26,48,31,2,W00010385,W02000228
Pentonville,219,78,20,307,56,16,76,68,33,E00013494,E02000568
Peterborough (Female),94,9,12,59,9,9,18,19,3,E00187639,E02003246
Peterborough (Male),187,58,17,179,41,31,46,85,4,E00187639,E02003246
Portland,127,*,*,128,30,7,33,19,1,E00171471,E02004288
Prescoed,61,15,*,120,*,*,5,*,*,W00008311,W02000341
Preston,138,82,27,181,27,14,32,38,2,E00181968,E02005266
Ranby,312,*,16,207,48,18,26,45,*,E00142851,E02005837
Risley,143,236,13,143,20,21,95,132,*,E00188925,E02002590
Rochester,216,*,18,182,31,3,26,14,*,E00167420,E02003337
Rye Hill,27,579,*,*,*,*,*,3,*,E00169203,E02005621
Send,98,13,3,19,4,*,3,11,*,E00155365,E02006344
Stafford,18,642,*,*,*,3,27,16,*,E00179354,E02006196
Standford Hill (Sheppey cluster),189,*,*,134,22,*,22,*,*,E00124937,E02005120
Stocken,362,*,22,226,52,*,26,*,*,E00172628,E02002863
Stoke Heath,245,*,23,109,32,*,32,54,*,E00187256,E02006020
Styal,129,5,18,74,8,10,19,18,5,E00174371,E02003859
Sudbury,179,*,14,203,25,*,10,*,*,E00174335,E02004077
Swaleside (Sheppey cluster),587,136,12,48,22,6,7,5,*,E00124937,E02005120
Swansea,84,*,13,75,15,10,22,44,*,W00003997,W02000192
Swinfen Hall,237,80,*,76,20,5,6,7,*,E00180753,E02006157
Thameside,275,77,31,259,86,25,87,122,10,E00008406,E02000314
Thorn Cross,72,*,9,159,6,*,8,3,2,E00062779,E02002613
Usk,8,194,*,*,*,*,16,5,*,W00008311,W02000341
